year,inflation,accumulated
1972,1.033,1
1973,1.062,1.062
1974,1.111,1.179
1975,1.091,1.287
1976,1.057,1.361
1977,1.065,1.449
1978,1.076,1.56
1979,1.113,1.736
1980,1.135,1.971
1981,1.103,2.174
1982,1.061,2.308
1983,1.032,2.382
1984,1.043,2.484
1985,1.035,2.572
1986,1.019,2.621
1987,1.037,2.717
1988,1.041,2.828
1989,1.048,2.965
1990,1.054,3.125
1991,1.042,3.257
1992,1.03,3.356
1993,1.03,3.455
1994,1.026,3.545
1995,1.028,3.644
1996,1.029,3.751
1997,1.023,3.839
1998,1.016,3.898
1999,1.022,3.984
2000,1.034,4.118
2001,1.028,4.234
2002,1.016,4.302
2003,1.023,4.399
2004,1.027,4.517
2005,1.034,4.67
2006,1.032,4.821
2007,1.029,4.958
2008,1.038,5.149
2009,0.996,5.13
2010,1.016,5.215
2011,1.032,5.379
2012,1.021,5.491
2013,1.015,5.571
2014,1.016,5.661
2015,1.001,5.668
2016,1.013,5.74
2017,1.021,5.862
2018,1.024,6.005
2019,1.018,6.114
2020,1.012,6.189
2021,NULL,6.189
